All,Sve,module,Magento_AdminGws
None,Ništa,module,Magento_AdminGws
Allowed Scopes,Dozvolite područja,module,Magento_AdminGws
You need more permissions to delete this item(s): %1.,Potrebno Vam je veće dopuštenje kako bi obrisali proizvod/e: %1.,module,Magento_AdminGws
You need more permissions to apply some of the rule updates.,Potrebno Vam je veće dopuštenje kako bi primijenili nova pravila ažuriranja.,module,Magento_AdminGws
Please assign this entity to a store view.,Dodijelite entitet na naslovnicu trgovine,module,Magento_AdminGws
You can create orders only in an active store.,Možete napraviti narudžbu samo u aktivnoj trgovini.,module,Magento_AdminGws
Please assign this item to a store view.,Molimo priložite ovaj proizvod u pregled trgovine.,module,Magento_AdminGws
You need more permissions to save this item.,Nemate ovlasti spremiti ovaj proizvod.,module,Magento_AdminGws
You need more permissions to delete this item.,Nemate ovlasti obrisati ovaj proizvod.,module,Magento_AdminGws
You need more permissions to view this item.,Nemate ovlasti pregledati ovaj proizvod.,module,Magento_AdminGws
Please specify at least one website or one store group.,Molimo navedite barem jednu web stranicu ili trgovinsku grupaciju.,module,Magento_AdminGws
You need more permissions to set All Scopes to a Role.,Nemate ovlasti postaviti sva područja prema ulozi.,module,Magento_AdminGws
Incorrect website ID: %1,Netočan ID web stranice: %1,module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Nemate ovlasti pristupiti web stranici """"%1"""".",module,Magento_AdminGws
Incorrect store ID: %1,Netočan ID trgovine: %1,module,Magento_AdminGws
You need more permissions to save this setting.,Nemate ovlasti spremiti ove postavke.,module,Magento_AdminGws
Role Scopes,Ovlasti uloge,module,Magento_AdminGws
Custom,Proizvoljno,module,Magento_AdminGws
Read Details,Pročitajte detalje,module,Magento_AdminNotification
Mark as Read,Označite kao pročitano,module,Magento_AdminNotification
Are you sure?,Jeste li sigurni?,module,Magento_AdminNotification
Remove,Uklonite,module,Magento_AdminNotification
Messages Inbox,Pristigle poruke,module,Magento_AdminNotification
You have %1 new system messages,Imate %1 nove poruku sustava,module,Magento_AdminNotification
You have %1 new system message,Imate %1 novu poruku sustava,module,Magento_AdminNotification
Incoming Message,Dolazne poruke,module,Magento_AdminNotification
close,zatvoriti,module,Magento_AdminNotification
Notifications,Obavijesti,module,Magento_AdminNotification
The message has been marked as Read.,Ova poruka je označena kao pročitana.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,Nismo mogli označiti obavijest kao pročitanu zbog greške.,module,Magento_AdminNotification
Please select messages.,Molimo odaberite poruke.,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,Ukupno %1 zapis/a je označeno kao pročitano.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,Ukupno %1 zapisa je uklonjeno.,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,Nismo u mogućnosti ukloniti poruke zbog greške.,module,Magento_AdminNotification
The message has been removed.,Poruka je uklonjena.,module,Magento_AdminNotification
1 Hour,1 sat,module,Magento_AdminNotification
2 Hours,2 sata,module,Magento_AdminNotification
6 Hours,6 sati,module,Magento_AdminNotification
12 Hours,12 sati,module,Magento_AdminNotification
24 Hours,24 sata,module,Magento_AdminNotification
critical,kritično,module,Magento_AdminNotification
major,glavni,module,Magento_AdminNotification
minor,manji,module,Magento_AdminNotification
notice,napomena,module,Magento_AdminNotification
Wrong message type,Krivi oblik poruke,module,Magento_AdminNotification
Wrong notification ID specified.,Označen pogrešni ID obavjesti.,module,Magento_AdminNotification
